TCGA.BH.A1FM.11B.23R.A13Q.07	TCGA.E2.A1LB.11A.22R.A144.07	TCGA.BH.A208.11A.51R.A157.07	TCGA.BH.A18K.11A.13R.A12D.07	TCGA.E9.A1RC.11A.33R.A157.07	TCGA.E9.A1NG.11A.52R.A14M.07	TCGA.A7.A0DC.11A.41R.A089.07	TCGA.BH.A18J.11A.31R.A12D.07	TCGA.BH.A18P.11A.43R.A12D.07	TCGA.E9.A1NF.11A.73R.A14D.07	TCGA.BH.A18S.11A.43R.A12D.07	TCGA.A7.A0D9.11A.53R.A089.07	TCGA.BH.A0DG.11A.43R.A12P.07	TCGA.BH.A18L.11A.42R.A12D.07	TCGA.BH.A0HA.11A.31R.A12P.07	TCGA.BH.A18R.11A.42R.A12D.07	TCGA.E2.A158.11A.22R.A12D.07	TCGA.BH.A0BQ.11A.33R.A115.07	TCGA.BH.A0DH.11A.31R.A089.07	TCGA.BH.A1F2.11A.32R.A13Q.07	TCGA.B6.A0WY.01A.11R.A109.07	TCGA.AN.A0G0.01A.11R.A034.07	TCGA.E2.A1IL.01A.11R.A14D.07	TCGA.BH.A0HX.01A.21R.A056.07	TCGA.A7.A26G.01A.21R.A169.07	TCGA.AR.A24X.01A.11R.A169.07	TCGA.A8.A076.01A.21R.A00Z.07	TCGA.B6.A0RS.01A.11R.A084.07	TCGA.C8.A1HE.01A.11R.A13Q.07	TCGA.A8.A09V.01A.11R.A034.07	TCGA.C8.A27B.01A.11R.A169.07	TCGA.B6.A0IM.01A.11R.A034.07	TCGA.AR.A1AW.01A.21R.A12P.07	TCGA.BH.A1EX.01A.11R.A13Q.07	TCGA.D8.A1XG.01A.11R.A14D.07	TCGA.AO.A12A.01A.21R.A115.07	TCGA.AR.A0TR.01A.11R.A084.07	TCGA.A8.A07E.01A.11R.A034.07	TCGA.A2.A0CT.01A.31R.A056.07	TCGA.BH.A18U.01A.21R.A12D.07
Growth regulation	0.0296433580836517	0.0282015451354459	0.0289813190845551	0.0278570531561135	0.0296466826986106	0.0311903175217368	0.0313796183588739	0.0302212650746863	0.0285806276817332	0.0337985029582885	0.0330165053406354	0.0327838214648903	0.0289708431892293	0.0301129374414266	0.0289835379563521	0.027924006552123	0.0309123786484172	0.0307648909524646	0.0314980396069774	0.0288438700671942	0.0345654716178828	0.0336643972380276	0.0275872453128829	0.0303462555222923	0.0363697456242367	0.0307306919975114	0.0342346266558237	0.0335515208221875	0.0343172674361533	0.0341063359424845	0.0370586612247527	0.0283492257467315	0.036225153029723	0.0308131724229467	0.027098578404181	0.0333688278607517	0.0337194699563583	0.0327840031670746	0.0274657236744453	0.029299256344297
Cell division	0.528070664220489	0.508201773523817	0.510738201720596	0.519244621310269	0.545987762782066	0.547740722214724	0.548637518801737	0.529580135631852	0.531993562831642	0.553483228023268	0.536610021227985	0.545760663493617	0.51229150534762	0.538179052220456	0.519835535247891	0.530072589552595	0.542998285562924	0.532847337589437	0.529276859475233	0.538239250973266	0.503339474052103	0.468512593136679	0.481702611225711	0.480468525215905	0.507339362392107	0.483590813299316	0.476781189587628	0.48935303322454	0.480857637826108	0.457486234804626	0.482399943411351	0.491113861918637	0.524317142036138	0.48759271666247	0.567953147038161	0.507984864378255	0.47953021648616	0.530544378709343	0.528156689387911	0.488890022881007
Cell cycle	0.615014206703394	0.602840470040323	0.602190804485031	0.610797442195332	0.636580239574465	0.634343810870918	0.637254327069027	0.618556762204659	0.620541600634947	0.641373433455134	0.622684262070181	0.638094402354666	0.603127688179328	0.624360066243859	0.611296332421401	0.617252876213974	0.630544581851585	0.623242550509822	0.618475200587242	0.624470922109284	0.598366082399076	0.576290263606508	0.577500716792946	0.575612524068393	0.60522842924119	0.57759045958918	0.574861374097834	0.593093427729384	0.576966284268483	0.555066020307477	0.589605777136273	0.592339181936173	0.616486646629637	0.577678608187418	0.648252138717181	0.599730572557223	0.579026493601675	0.618518247709517	0.620855082382871	0.591531375509988
Biological rhythms	0.436301963277697	0.420369392831306	0.434101836982504	0.427033101793467	0.420436200051135	0.430536132322647	0.429691050469149	0.442775008588426	0.420439447057058	0.43093291580288	0.442428999151223	0.427696682884658	0.423890520071747	0.432842851350668	0.429193634577849	0.425090369739318	0.424111740014253	0.437775397073709	0.419318501853326	0.432660573419489	0.414421248929609	0.424763046711112	0.426628100093807	0.430473123422133	0.411482476994309	0.417481515873369	0.419739474491609	0.429520970739415	0.41844279200702	0.437181665106773	0.44394916774109	0.43704523231067	0.442560996751313	0.418002792992751	0.416403197962639	0.435751906212166	0.414725421661172	0.421922982357191	0.400551226449339	0.405227683503817
Endocytosis	0.690997364795523	0.706770502083892	0.700075933182225	0.700185536510078	0.674998738182646	0.691980967076667	0.699628527041137	0.704278164906814	0.687931450829965	0.702758051876887	0.715139604283093	0.679741694858368	0.693222495257488	0.694047977773722	0.703931139588007	0.693949884895205	0.680953510850948	0.715491060996903	0.694074110894389	0.693964643636501	0.712230583838356	0.680874434009644	0.694314321742028	0.70503453512995	0.712330545141789	0.698723454652749	0.723178721943866	0.666580573296672	0.690273480803966	0.681184161621882	0.724943707749745	0.685677782223165	0.701400522555253	0.705645039766188	0.670690958928885	0.699475039605877	0.665401835400193	0.703679237039175	0.687822199939479	0.690512441193243
Autophagy	0.432616693664021	0.45284094325503	0.438110865043506	0.451255557832949	0.439397017841841	0.441112026722585	0.440912257473475	0.450478259301344	0.446074572481113	0.459256218091568	0.467048387807605	0.442569713151404	0.435813806541077	0.447492996887541	0.443282055046245	0.437394248762385	0.434118642991152	0.457342737522939	0.44582925882709	0.44183470488536	0.459352089344835	0.421274720614785	0.449930416620481	0.423157805449545	0.454005504236156	0.427538408578901	0.448253660817735	0.424633270851246	0.43107955081723	0.420822926340349	0.486624614045676	0.41667808037809	0.44982552530284	0.451775044288865	0.404043274306781	0.442318667285426	0.406474813736119	0.45065371980026	0.416982969925973	0.417785537414949
Cell adhesion	0.796936720043541	0.798282207436074	0.813448620824996	0.796861834951911	0.800971970914734	0.807429794337444	0.806613665082674	0.808300374458725	0.797313346991314	0.807474629874992	0.816602774580144	0.800556856569685	0.802303102173303	0.804805466346818	0.814406971925824	0.791937419785	0.793097971185144	0.814206340791765	0.777511200798687	0.80621334531715	0.798086814460432	0.814279365257204	0.800317021465438	0.793015860402726	0.822601537100676	0.789829570796699	0.797399937506907	0.776833814788842	0.790783202986853	0.795928335964414	0.833869012120419	0.798780179965131	0.808125458713266	0.807608794609632	0.803371983720404	0.792925446235791	0.741211329493552	0.78728792057151	0.786623239185055	0.793739390457162
DNA repair	0.0366368290410447	0.0374202009048618	0.0370341134436126	0.0372357677256328	0.0347078380182025	0.0386752628300299	0.0407606752661476	0.038802675891963	0.0378655857381748	0.0334027436121019	0.0386436054897789	0.0369979430651194	0.0364706959830157	0.0383733386955479	0.0378380339023511	0.0377789057021162	0.0386852986917509	0.0373667358927045	0.0394059189795667	0.039054892066644	0.0395659129294353	0.0334262525540422	0.0343991549481767	0.0404393913218669	0.0404938250956917	0.0311747710851762	0.0423831455979555	0.0376801841650186	0.0340717769820348	0.0302485482284456	0.0370249506266096	0.0384596603159137	0.0374443315918546	0.0340012035167971	0.035584028640028	0.0391804874173404	0.0379581581341563	0.0347409065765748	0.0399653491053188	0.0378310427206437
DNA damage	0.0481643214200862	0.0504507068733153	0.0489254450932484	0.0505726896109152	0.046955826412971	0.0500734959585161	0.0531673986592341	0.0512308126479373	0.0493738246879833	0.0447942699680713	0.0500048410732427	0.0487330954121752	0.0485121933807222	0.0502265695849077	0.051028626142943	0.0496895927828799	0.0501079908502104	0.0508333036293894	0.0510401221554336	0.0508072865595179	0.0534501738386388	0.0500277249651597	0.0480416817945477	0.051698695351503	0.0556640194651228	0.0444980420551195	0.0559532616521196	0.0504483081241465	0.046211615808474	0.0428235566204553	0.0509561987822964	0.0527511918021658	0.0498026332262107	0.045149060871427	0.0483980930542235	0.0510793156127757	0.0512834606698361	0.0492514981900434	0.0515420820024675	0.0488185937305545
Protein transport	0.432957638121255	0.453335361778209	0.438398304732583	0.451692232541831	0.439805969092604	0.441206982755686	0.441281563606694	0.450748087027532	0.446640262308929	0.459251447687901	0.467417807546423	0.442809519027987	0.436393156875533	0.447679525462937	0.443791586633348	0.437820753964462	0.434294626192152	0.457692265064031	0.446811562915597	0.442176926616734	0.45979172552967	0.421642689874317	0.450257815564616	0.424135143282961	0.454402599823699	0.427944557813496	0.448788966694436	0.424712593476045	0.431853680320779	0.421297548284847	0.487233216946759	0.417145466822868	0.450320577340633	0.452456500246031	0.40470345989469	0.442923343860795	0.407173556604089	0.450742440768169	0.418393774033233	0.418750682381754
Transport	0.502344968063813	0.522284046730447	0.502859258618557	0.523336840462044	0.512511203984624	0.512135538035642	0.510985221366516	0.529698537180967	0.521133185074439	0.532050253088782	0.537486863624742	0.509211796301558	0.499625833624553	0.519160960877159	0.507277636139661	0.509079639003425	0.508062516770134	0.530117002538505	0.526040799311455	0.513931154377765	0.536902716446414	0.474174441305397	0.527325620846969	0.499822833197365	0.518568298087116	0.48984607262912	0.503782529320293	0.499657133329685	0.492876938250314	0.485841640196533	0.561324055861885	0.482658992688509	0.52107909223599	0.527197434093226	0.474608061208788	0.516975357619249	0.464383408443913	0.50988047539495	0.49792210327956	0.487906204956162
