TCGA.BH.A1FM.11B.23R.A13Q.07	TCGA.E2.A1LB.11A.22R.A144.07	TCGA.BH.A208.11A.51R.A157.07	TCGA.BH.A18K.11A.13R.A12D.07	TCGA.E9.A1RC.11A.33R.A157.07	TCGA.E9.A1NG.11A.52R.A14M.07	TCGA.A7.A0DC.11A.41R.A089.07	TCGA.BH.A18J.11A.31R.A12D.07	TCGA.BH.A18P.11A.43R.A12D.07	TCGA.E9.A1NF.11A.73R.A14D.07	TCGA.BH.A18S.11A.43R.A12D.07	TCGA.A7.A0D9.11A.53R.A089.07	TCGA.BH.A0DG.11A.43R.A12P.07	TCGA.BH.A18L.11A.42R.A12D.07	TCGA.BH.A0HA.11A.31R.A12P.07	TCGA.BH.A18R.11A.42R.A12D.07	TCGA.E2.A158.11A.22R.A12D.07	TCGA.BH.A0BQ.11A.33R.A115.07	TCGA.BH.A0DH.11A.31R.A089.07	TCGA.BH.A1F2.11A.32R.A13Q.07	TCGA.B6.A0WY.01A.11R.A109.07	TCGA.AN.A0G0.01A.11R.A034.07	TCGA.E2.A1IL.01A.11R.A14D.07	TCGA.BH.A0HX.01A.21R.A056.07	TCGA.A7.A26G.01A.21R.A169.07	TCGA.AR.A24X.01A.11R.A169.07	TCGA.A8.A076.01A.21R.A00Z.07	TCGA.B6.A0RS.01A.11R.A084.07	TCGA.C8.A1HE.01A.11R.A13Q.07	TCGA.A8.A09V.01A.11R.A034.07	TCGA.C8.A27B.01A.11R.A169.07	TCGA.B6.A0IM.01A.11R.A034.07	TCGA.AR.A1AW.01A.21R.A12P.07	TCGA.BH.A1EX.01A.11R.A13Q.07	TCGA.D8.A1XG.01A.11R.A14D.07	TCGA.AO.A12A.01A.21R.A115.07	TCGA.AR.A0TR.01A.11R.A084.07	TCGA.A8.A07E.01A.11R.A034.07	TCGA.A2.A0CT.01A.31R.A056.07	TCGA.BH.A18U.01A.21R.A12D.07
hsa04014__100	0.00671485661233252	0.00598146897707899	0.00659739542717653	0.00614344194228081	0.00641766679302376	0.00662114840716079	0.00620712904358856	0.00648440890304818	0.00632765865194574	0.00681226054596165	0.0067541660747051	0.00664854604823202	0.00649647561706617	0.0064781546346504	0.00635158267763088	0.00626284690040095	0.00607187010550358	0.00644888405762777	0.00584361354212158	0.00655996722668582	0.00587140292088471	0.00525175587612181	0.00686474071495699	0.00673330018759086	0.00735248206681178	0.00682963173638659	0.00726743719001125	0.00574805260383911	0.00699637532495771	0.00742521305779255	0.00696996165825703	0.00637869169301569	0.00690622440861805	0.00628704328118087	0.00589759941600258	0.00639707985519715	0.00810197991826753	0.00665992463819671	0.00625964892145031	0.00578255360775287
hsa04014__24	0.0299778419734174	0.029041346050213	0.028594826557943	0.0277286269980114	0.0314208151227233	0.0310564700527744	0.0284406417454145	0.0288749001856083	0.0289650779641501	0.0324167697643355	0.0312499605189638	0.0326762454015508	0.0272436827781819	0.0299734115621958	0.0299126213021964	0.0289717948496114	0.0313546438400399	0.028190679058552	0.031522822661081	0.0308195723940817	0.0274381015236302	0.0274018414195483	0.0260718438694788	0.0272886675195263	0.0306676555899562	0.0283160358439035	0.0267326190890755	0.0307626727486823	0.0272103261907115	0.0280582047311254	0.0314759423321605	0.0245468991785505	0.027302192389812	0.0279138977527856	0.0235594921214359	0.0293475869151018	0.0245007665923856	0.0285174935814472	0.0264907582794627	0.0242308664287422
hsa04014__26	0.0167835458379734	0.0137917923058088	0.0145257172737524	0.01574858903343	0.0164860749594728	0.016530273598231	0.0165007546245628	0.0163619243038339	0.0163078890505806	0.0170912533701997	0.0161014535185617	0.0180750772823576	0.0147874547650196	0.0158092289502915	0.0150774750634113	0.0160980344883896	0.0185579351564656	0.0157124342790749	0.0155815351281302	0.015871168637755	0.0133050792452857	0.0157077234650277	0.0112378591958009	0.0153242060230009	0.016162218884683	0.0133755939653863	0.0149779733568462	0.0152781227767528	0.0121266386690375	0.0135908770450471	0.0141847411787682	0.0112745551708262	0.0146364353475369	0.0122761287962135	0.0131761581772023	0.0149408761753255	0.0118597442410615	0.0171107736344145	0.0129206462236522	0.0133414604387319
hsa04014__30	0.0310417498360613	0.027060929793708	0.0279207204215203	0.0294746096208286	0.0315028572756465	0.0315846889651952	0.0305901007750914	0.0310387137300765	0.0317802078575434	0.0322646367306905	0.0311701220965569	0.0339750432310837	0.0276571017663629	0.0304095715257163	0.0289256325778889	0.0306308310884937	0.0348918525677595	0.0294372408671686	0.0295308478916644	0.03055780746542	0.0275043259820035	0.0300522565495093	0.023995505630436	0.031079843032823	0.0302039264036938	0.0281927968938207	0.030545411374972	0.0309411227464246	0.0260051150743941	0.026105663816845	0.0283623230924229	0.0241193907347887	0.0255475466202993	0.0247149684862216	0.0276430115868801	0.0311135375203094	0.0251085209580225	0.0317549392839785	0.0278536395870512	0.0296567100462611
hsa04014__27	0.0160622720259796	0.0171981608409651	0.0162023977261336	0.0158243012992422	0.014317941540223	0.0165719213487968	0.0160261172880145	0.0169449426206422	0.0148170919695136	0.0176716070716725	0.0170117373802471	0.0159743528315119	0.0144958412337418	0.0167077897910103	0.016778901851016	0.0157887960740864	0.0172487510304477	0.0163237865176954	0.016874275795609	0.0162380911627601	0.0179351865065589	0.0139467602122662	0.0141112220632767	0.0176868979374458	0.0177677123424941	0.0160266768419825	0.0173183220535968	0.0146527047027743	0.0153565137286046	0.0134965980809292	0.0139554039837169	0.0139507621368232	0.0141714780631424	0.0135309534852952	0.0135839949788219	0.0167139771587965	0.0142528688300631	0.0156264622527912	0.0155373906183746	0.0155468767733028
hsa04014__45	0.0166535268459046	0.018086230640604	0.0167056686728735	0.0166074794122114	0.0150369814374254	0.0167390074799249	0.016676082512025	0.0174276451075587	0.0158231984270346	0.0176629410395808	0.0176931036786707	0.0163976795478148	0.0155078336763224	0.0170397531763329	0.0176787869924132	0.0165349157102495	0.0175543764207144	0.0169573759891774	0.018616930805432	0.0168412542519904	0.018733767652174	0.0145737196581883	0.0146980186335355	0.0193512209845036	0.018482078715044	0.0167247848339458	0.0182717226287797	0.0147885490779202	0.0166963171656151	0.0143050143393878	0.0151243529013155	0.0147408336773544	0.0150585356078755	0.0147571567095464	0.0146767213499181	0.017780123701672	0.0154133651214889	0.0157854413452161	0.0179196261640221	0.0171788183309185
hsa04014__61	0.283120992568708	0.259930909952966	0.272304062027426	0.275285004051348	0.326006645641475	0.301754176259457	0.29630687648303	0.278162742509134	0.285308397527754	0.308635631781476	0.298442709144809	0.293227526767603	0.285013933512665	0.293565966788943	0.271279891943577	0.276649849227418	0.293280233173913	0.279127496503126	0.274115391253465	0.292866205207001	0.261433825971112	0.30582533750917	0.263408099293973	0.275887281806146	0.294204029678107	0.292065474004252	0.250980601166472	0.271545547655064	0.298622609935081	0.28889095067683	0.327053305319608	0.282059507108014	0.284384647153589	0.300569146404164	0.310381316862879	0.270481573757052	0.243034584275138	0.302143621376085	0.27167809459825	0.275579598946664
hsa04014__79	0.0131236638980187	0.0124480660251658	0.0125830094142561	0.0118628936619787	0.0132119156805646	0.0132245979915856	0.0126054576976747	0.0126986630032749	0.0124965867805971	0.0132850243604072	0.0130371981939675	0.0134454697765986	0.0121925313852795	0.0126806100812897	0.0127265212227142	0.0124449363360693	0.0131503330055836	0.0121612062623607	0.01360785738745	0.0127146503905027	0.0129660531008983	0.0117447960235621	0.0107759454931736	0.0149650726307325	0.0136156540291059	0.012600874380665	0.0128895100835334	0.0132349756983177	0.0123739427270418	0.0127974975913868	0.0156912526705115	0.0136472622247637	0.0125377542532217	0.012516375499692	0.0110661387788755	0.0134402420075845	0.0124455172472415	0.0129873549877825	0.013065236351015	0.0117988836002152
hsa04014__103	0.280028777877734	0.263522643062269	0.265093966130926	0.266673997329705	0.272598394992687	0.275591390576886	0.272428392720248	0.277187842214331	0.261857992122619	0.28465658037596	0.278303784114977	0.277684835702561	0.262781524711181	0.276055384564397	0.262730503428029	0.266474758725721	0.284776011759531	0.272766131340754	0.273676373393673	0.273089708250801	0.256881172392131	0.223265120218134	0.246735904170315	0.258247641948623	0.250220058775872	0.241378707525817	0.243688806908586	0.240920238144141	0.252180008535302	0.280154786735959	0.259310341747866	0.263627836790068	0.271680550013788	0.255692081653057	0.242729946680995	0.262925294606768	0.229142366340447	0.265998253229326	0.255047458758968	0.238035534040887
hsa04014__58 59	0.0165784737287427	0.0147160429821455	0.0157965915968705	0.0153805958876534	0.0164273425860728	0.0164484673708648	0.0158340806136566	0.0165807460939665	0.0157134244266419	0.0176673511325542	0.0172066088112018	0.0172571081055568	0.0151542925976572	0.016365444706446	0.016110985897526	0.0161422759240732	0.0167946024117628	0.0156091363940643	0.0162108281495427	0.0165812647908909	0.015249921796793	0.0148690416014208	0.0148400233303396	0.0158975820882231	0.018227501326687	0.0149080575682636	0.0167944075599318	0.0159545701261402	0.0157655909353037	0.0166426411456519	0.0170025972746964	0.0152003977637885	0.0177942194923782	0.0152130069541677	0.0147284931703667	0.016637584294281	0.0157908788064377	0.0157677849960475	0.0146285885921624	0.0155856851076874
